Timestamp,Longitude,Latitude,TruLongitude,TruLatitude
1,116.311304,39.95796,116.311304,39.95796
2,116.311266,39.95797,116.311305,39.95797
3,116.311287,39.957981,116.311307,39.957981
4,116.311307,39.957986,116.311307,39.957986
5,116.311323,39.957976,116.31131,39.957988
6,116.311309,39.95799,116.311309,39.95799
7,116.311311,39.957993,116.311311,39.957993
8,116.311307,39.958006,116.311307,39.958006
9,116.311305,39.958018,116.311305,39.958018
10,116.311304,39.958028,116.311304,39.958028
11,116.311303,39.958041,116.311303,39.958041
12,116.311303,39.958051,116.311303,39.958051
13,116.311303,39.958061,116.311303,39.958061
14,116.311304,39.95807,116.311304,39.95807
15,116.311306,39.95808,116.311306,39.95808
16,116.311309,39.95809,116.311309,39.95809
17,116.31131,39.958101,116.31131,39.958101
18,116.31131,39.958111,116.31131,39.958111
19,116.31131,39.958121,116.31131,39.958121
20,116.31131,39.95813,116.31131,39.95813
21,116.311308,39.958142,116.311308,39.958142
22,116.311304,39.958152,116.311304,39.958152
23,116.311304,39.958163,116.311304,39.958163
24,116.311303,39.958174,116.311303,39.958174
25,116.311304,39.958185,116.311304,39.958185
26,116.311306,39.958195,116.311306,39.958195
27,116.311307,39.958204,116.311307,39.958204
28,116.311308,39.958214,116.311308,39.958214
29,116.31131,39.958225,116.31131,39.958225
30,116.311312,39.958236,116.311312,39.958236
31,116.311313,39.958248,116.311313,39.958248
32,116.311312,39.95826,116.311312,39.95826
33,116.31131,39.958272,116.31131,39.958272
34,116.311309,39.958283,116.311309,39.958283
35,116.311309,39.958295,116.311309,39.958295
36,116.311308,39.958306,116.311308,39.958306
37,116.311308,39.958317,116.311308,39.958317
38,116.311307,39.958326,116.311307,39.958326
39,116.311304,39.958337,116.311304,39.958337
40,116.311303,39.958349,116.311303,39.958349
41,116.311302,39.95836,116.311302,39.95836
42,116.311303,39.958373,116.311303,39.958373
43,116.311302,39.958385,116.311302,39.958385
44,116.311302,39.958396,116.311302,39.958396
45,116.311304,39.958409,116.311304,39.958409
46,116.311304,39.958422,116.311304,39.958422
47,116.311304,39.958435,116.311304,39.958435
48,116.311304,39.958447,116.311304,39.958447
49,116.311304,39.958459,116.311304,39.958459
50,116.311304,39.958471,116.311304,39.958471
51,116.311304,39.958484,116.311304,39.958484
52,116.311304,39.958497,116.311304,39.958497
53,116.311304,39.958511,116.311304,39.958511
54,116.311304,39.958524,116.311304,39.958524
55,116.3113,39.958538,116.3113,39.958538
56,116.311303,39.958553,116.311303,39.958553
57,116.311306,39.958568,116.311306,39.958568
58,116.311308,39.958583,116.311308,39.958583
59,116.311309,39.958598,116.311309,39.958598
60,116.31131,39.958613,116.31131,39.958613
61,116.31131,39.958628,116.31131,39.958628
62,116.31131,39.958643,116.31131,39.958643
63,116.311309,39.958658,116.311309,39.958658
64,116.311309,39.958673,116.311309,39.958673
65,116.311309,39.958688,116.311309,39.958688
66,116.311309,39.958703,116.311309,39.958703
67,116.311308,39.958718,116.311308,39.958718
68,116.311308,39.958733,116.311308,39.958733
69,116.311308,39.958748,116.311308,39.958748
70,116.311307,39.958763,116.311307,39.958763
71,116.311306,39.958778,116.311306,39.958778
72,116.311306,39.958792,116.311306,39.958792
73,116.311308,39.958806,116.311308,39.958806
74,116.311308,39.958818,116.311308,39.958818
75,116.311308,39.958831,116.311308,39.958831
76,116.311307,39.958843,116.311307,39.958843
77,116.311305,39.958855,116.311305,39.958855
78,116.311303,39.958866,116.311303,39.958866
79,116.311301,39.958878,116.311301,39.958878
80,116.311301,39.958889,116.311301,39.958889
81,116.311301,39.9589,116.311301,39.9589
82,116.311301,39.958912,116.311301,39.958912
83,116.311301,39.958923,116.311301,39.958923
84,116.311301,39.958934,116.311301,39.958934
85,116.311301,39.958946,116.311301,39.958946
86,116.3113,39.958958,116.3113,39.958958
87,116.311301,39.95897,116.311301,39.95897
88,116.311301,39.958983,116.311301,39.958983
89,116.3113,39.958995,116.3113,39.958995
90,116.311302,39.959008,116.311302,39.959008
91,116.311302,39.959021,116.311302,39.959021
92,116.311303,39.959033,116.311303,39.959033
93,116.311302,39.959045,116.311302,39.959045
94,116.3113,39.959058,116.3113,39.959058
95,116.311304,39.95907,116.311304,39.95907
96,116.311302,39.959082,116.311302,39.959082
97,116.311301,39.959094,116.311301,39.959094
98,116.311302,39.959106,116.311302,39.959106
99,116.311302,39.959118,116.311302,39.959118
100,116.311303,39.95913,116.311303,39.95913
101,116.311279,39.959141,116.311303,39.959141
102,116.311278,39.959153,116.311303,39.959153
103,116.311278,39.959166,116.311302,39.959166
104,116.311277,39.959178,116.311302,39.959178
105,116.311277,39.95919,116.311302,39.95919
106,116.311277,39.959201,116.311307,39.959201
107,116.311278,39.959213,116.311307,39.959213
108,116.311279,39.959224,116.311307,39.959224
109,116.311305,39.959234,116.311305,39.959234
110,116.311305,39.959245,116.311305,39.959245
111,116.311304,39.959255,116.311304,39.959255
112,116.311302,39.959266,116.311302,39.959266
113,116.311303,39.959277,116.311303,39.959277
114,116.311303,39.959289,116.311303,39.959289
115,116.311303,39.959301,116.311303,39.959301
116,116.311303,39.959313,116.311303,39.959313
117,116.311303,39.959325,116.311303,39.959325
118,116.311302,39.959336,116.311302,39.959336
119,116.311307,39.959348,116.311307,39.959348
120,116.311302,39.959358,116.311302,39.959358
121,116.311302,39.959369,116.311302,39.959369
122,116.311305,39.95938,116.311305,39.95938
123,116.311302,39.959393,116.311302,39.959393
124,116.311302,39.959404,116.311302,39.959404
125,116.311307,39.959414,116.311307,39.959414
126,116.311302,39.959419,116.311302,39.959419
127,116.311304,39.959419,116.311304,39.959419
128,116.311305,39.959418,116.311305,39.959418
129,116.311322,39.959417,116.311322,39.959417
130,116.311339,39.959417,116.311339,39.959417
131,116.311356,39.959416,116.311356,39.959416
132,116.311373,39.959415,116.311373,39.959415
133,116.311388,39.959414,116.311388,39.959414
134,116.311404,39.959412,116.311404,39.959412
135,116.311421,39.959412,116.311421,39.959412
136,116.311437,39.959412,116.311437,39.959412
137,116.311454,39.959412,116.311454,39.959412
138,116.31147,39.959412,116.31147,39.959412
139,116.311485,39.959412,116.311485,39.959412
140,116.311501,39.959411,116.311501,39.959411
141,116.311516,39.959412,116.311516,39.959412
142,116.311533,39.959413,116.311533,39.959413
143,116.311551,39.959414,116.311551,39.959414
144,116.311568,39.959414,116.311568,39.959414
145,116.311585,39.959415,116.311585,39.959415
146,116.311603,39.959418,116.311603,39.959418
147,116.311621,39.959419,116.311621,39.959419
148,116.311638,39.95942,116.311638,39.95942
149,116.311656,39.959421,116.311656,39.959421
150,116.311672,39.959421,116.311672,39.959421
151,116.311687,39.959421,116.311687,39.959421
152,116.311702,39.959421,116.311702,39.959421
153,116.311719,39.95942,116.311719,39.95942
154,116.311737,39.959418,116.311737,39.959418
155,116.311755,39.959417,116.311755,39.959417
156,116.311772,39.959415,116.311772,39.959415
157,116.31179,39.959414,116.31179,39.959414
158,116.311806,39.959415,116.311806,39.959415
159,116.311822,39.959415,116.311822,39.959415
160,116.311839,39.959414,116.311839,39.959414
161,116.311855,39.959413,116.311855,39.959413
162,116.311872,39.959414,116.311872,39.959414
163,116.311887,39.959415,116.311887,39.959415
164,116.311902,39.959416,116.311902,39.959416
165,116.311918,39.959416,116.311918,39.959416
166,116.311935,39.959415,116.311935,39.959415
167,116.311952,39.959413,116.311952,39.959413
168,116.311968,39.959412,116.311968,39.959412
169,116.311986,39.959413,116.311986,39.959413
170,116.312004,39.959414,116.312004,39.959414
171,116.312019,39.959416,116.312019,39.959416
172,116.312034,39.959417,116.312034,39.959417
173,116.31205,39.959417,116.31205,39.959417
174,116.312065,39.959417,116.312065,39.959417
175,116.312081,39.959416,116.312081,39.959416
176,116.312096,39.959416,116.312096,39.959416
177,116.312111,39.959417,116.312111,39.959417
178,116.312126,39.959418,116.312126,39.959418
179,116.312142,39.959418,116.312142,39.959418
180,116.312158,39.959418,116.312158,39.959418
181,116.312175,39.959418,116.312175,39.959418
182,116.312192,39.959419,116.312192,39.959419
183,116.312209,39.95942,116.312209,39.95942
184,116.312224,39.959421,116.312224,39.959421
185,116.31224,39.959422,116.31224,39.959422
186,116.312256,39.959422,116.312256,39.959422
187,116.312272,39.959423,116.312272,39.959423
188,116.312287,39.959424,116.312287,39.959424
189,116.312302,39.959424,116.312302,39.959424
190,116.312316,39.959425,116.312316,39.959425
191,116.312332,39.959425,116.312332,39.959425
192,116.312349,39.959425,116.312349,39.959425
193,116.312365,39.959427,116.312365,39.959427
194,116.312383,39.959429,116.312383,39.959429
195,116.312399,39.959431,116.312399,39.959431
196,116.312415,39.959433,116.312415,39.959433
197,116.312432,39.959434,116.312432,39.959434
