1,0.04,84.87,23.436,0.04,84.87,23.436
2,0.09,85.12,23.438,0.09,85.12,23.438
3,0.14,84.92,23.441,0.14,84.92,23.441
4,0.07,84.74,23.443,0.07,84.74,23.443
5,0,84.57,23.441,0,84.57,23.441
6,0.02,84.41,23.433,0.02,84.41,23.433
7,-0.06,83.93,23.428,-0.06,83.93,23.428
8,-0.01,82.94,23.426,-0.01,82.94,23.426
9,-0.07,83.12,23.417,-0.07,83.12,23.417
10,-0.19,82.2,23.415,-0.19,82.2,23.415
11,-0.11,81.44,23.414,-0.11,81.44,23.414
12,0.03,82.33,23.408,0.03,82.33,23.408
13,0.02,81.36,23.406,0.02,81.36,23.406
14,-0.03,81.21,23.405,-0.03,81.21,23.405
15,-0.04,82.1,23.406,-0.04,82.1,23.406
16,-0.04,82.23,23.407,-0.04,82.23,23.407
17,-0.02,81.41,23.406,-0.02,81.41,23.406
18,-0.01,81.41,23.403,-0.01,81.41,23.403
19,0.01,81.92,23.397,0.01,81.92,23.397
20,0.02,82.13,23.393,0.02,82.13,23.393
21,0.01,82.53,23.388,0.01,82.53,23.388
22,0.04,82.13,23.384,0.04,82.13,23.384
23,0.01,82.18,23.381,0.01,82.18,23.381
24,0.03,82.28,23.372,0.03,82.28,23.372
25,0.01,81.92,23.361,0.01,81.92,23.361
26,0.03,81.95,23.353,0.03,81.95,23.353
27,0.04,82.1,23.345,0.04,82.1,23.345
28,0.03,82.53,23.336,0.03,82.53,23.336
29,0,82.23,23.331,0,82.23,23.331
30,0.02,82.96,23.323,0.02,82.96,23.323
31,0.01,83.32,23.312,0.01,83.32,23.312
32,0.04,83.83,23.304,0.04,83.83,23.304
33,-0.01,83.83,23.3,-0.01,83.83,23.3
34,0.02,83.68,23.299,0.02,83.68,23.299
35,0.07,83.37,23.296,0.07,83.37,23.296
36,0.08,82.69,23.295,0.08,82.69,23.295
37,0.08,83.02,23.295,0.08,83.02,23.295
38,0.05,82.81,23.296,0.05,82.81,23.296
39,-0.02,83.52,23.294,-0.02,83.52,23.294
40,0,82.53,23.287,0,82.53,23.287
41,-0.07,82.08,23.282,-0.07,82.08,23.282
42,-0.06,82.15,23.277,-0.06,82.15,23.277
43,-0.01,82.35,23.27,-0.01,82.35,23.27
44,0.02,82.46,23.263,0.02,82.46,23.263
45,0.02,82.56,23.256,0.02,82.56,23.256
46,0.02,82.63,23.253,0.02,82.63,23.253
47,0.06,82.89,23.247,0.06,82.89,23.247
48,-0.02,82.84,23.242,-0.02,82.84,23.242
